| na12878 | 1 |ABySS 2.5 nd             |84,032|84,960|96,450|682|92.428| | | red |
| na12878 | 2 |ABySS 2.5 nd +m50        |91,146|92,547|104,721 |968    |92.600| | |indianred2 |
| na12878 | 3 |ABySS 2.0 nd             |81,213|82,076|92947|772 |92.295 | | | orange |
| na12878 | 4 |DiscovarDeNovo           |76,113|77,498|90,779|672|91.237|10.0|1672| purple1 |
| na12878 | 5 |MEGAHIT d                |13,478|13,512|16,844|75|85.808 | | | aquamarine1 |
| na12878 | 6 |MEGAHIT c                |26,729|26,871|32,246|213|90.382 | | | aquamarine3 |  

| na24631 | 1 |ABySS 2.5 nd             |89,206|90,190|105,257|707|92.156| | | red |
| na24631 | 2 |ABySS 2.5 nd +m50        |91,146  |92,547  |104,721 |968    |92.600| | | indianred2|
| na24631 | 3 |ABySS 2.0 nd             |87,219 |88,272 |99,394 |744 |92.339| | | orange |
| na24631 | 4 |DiscovarDeNovo           |75,966|77,327|92,633|643|90.931|9.66 |1624 | purple1 |
| na24631 | 5 |MEGAHIT d                |13,804|13,843|17,567|88|85.752 | | | aquamarine1 |
| na24631 | 6 |MEGAHIT c                |27,612|27,761|34,222|229|90.025 | | | aquamarine3 |

| Ecoli 2x100| 1 | ABySS 2.5 nd       |150,898 |177,397 |177,397 |6|98.714| | | red |
| Ecoli 2x100| 2 | ABySS 2.5 nd +m50  |135,012|179,383|179,383|9|98.891| | |indianred2 |
| Ecoli 2x100| 3 | ABySS 2.0 nd       |175,151 |175,151|175,151 | 6 | 98.874 | | | orange |
| Ecoli 2x100| 4 | SPAdes             |94,894|149,310|176,215|17|94.537|02:40|12.11|  lightblue |
| Ecoli 2x100| 5 | Unicycler          |132,909|148,359|171,543|2|97.957|36:09|12.11| dodgerblue4 |
| Ecoli 2x100| 6 | Unicycler (ec)     |132,909|171,893|171,893|2|98.034|38:19|11.51| dodgerblue1 |
| Ecoli 2x100| 7 | Discovar DeNovo    |117,880|148,573|133,298|4|97.965| | | purple1 |

| Ecoli 2x150| 1 | ABySS 2.5 nd       |135,012|157,961|157,961|5|98.665| | | red |
| Ecoli 2x150| 2 | ABySS 2.5 nd +m50  |135,012|178,761|178,950|6|98.678| | |indianred2 |
| Ecoli 2x150| 3 | ABySS 2.0 nd       |1350,12|150,749|150,749|4|98.655| | | orange |
| Ecoli 2x150| 4 | SPAdes             |112,543|148,513|175,920|15|94.441|03:31|6.85 | lightblue |
| Ecoli 2x150| 5 | Unicycler          |148,357|173,977|178,125|3|97.842|22:38|9.07| dodgerblue4 |
| Ecoli 2x150| 6 | Unicycler (ec)     |132,909|173,977|173,977|1|97.832|22:15|7.83| dodgerblue1 |
| Ecoli 2x150| 7 | Discovar DeNovo    |176,766|195,741|195,741|6|97.306| | | purple1 |

| Ecoli 2x301| 1 | ABySS 2.5 nd       |150,749|203,960|203,960|2|99.304| | | red |
| Ecoli 2x301| 2 | ABySS 2.5 nd +m50  |150,749|203,960|203,960|2|99.304| | |indianred2 |
| Ecoli 2x301| 3 | ABySS 2.0 nd       |177,193|206,476|206,476|4| 99.385 | | | orange |
| Ecoli 2x301| 4 | SPAdes             |121,052|154,686|176,019|17|95.088|12:14|13.14 | lightblue |
| Ecoli 2x301| 5 | Unicycler          |148,359|148,359|148,359|0|98.147|40:45|11.18| dodgerblue4 |
| Ecoli 2x301| 6 | Unicycler (ec)     |173,974|173,974|173,974|0|98.177|24:25|11.65| dodgerblue1 |
| Ecoli 2x301| 7 | Discovar DeNovo    |148,755|148,755|148,755 |0|98.869| | | purple1 |

| OSativa| 1 | ABySS 2.5 - default        |21,676|24,254|31,457|1,486|79.503| | | grey0 |
| OSativa| 2 | ABySS 2.5 - N[15-20] S300  |21,571|23,431|29,404|951|80.186| | | white |
| OSativa| 3 | ABySS 2.5 - N20            |20,096|21,382|27,528|681|79.136| | | white |
| OSativa| 4 | ABySS 2.5 - N20  S200      |20,455|21,782|27,631|696|79.751| | | white |
| OSativa| 5 | ABySS 2.5 - N5             |22,680|27,333|35,252|2,128|79.569| | | white |
| OSativa| 6 | DiscovarDeNovo             |27,296|33,248|42,040|1,766|82.007| | | indianred2 |
| OSativa| 7 | Megahit c                  |8,075|8,997|13,530|2,268|70.008| | | aquamarine3 |
| OSativa| 8 | Megahit d                  |-1|-1|6,462|4,452|41.624| | | aquamarine1 |
