   |        na12878    |        1    |       abyss 2.5                   |       74236   |       76866   |       88642   |       1814   |       91.525   |           |           |        white    |       
   |        na12878    |        2    |       abyss 2.5 nd                |       84032   |       84960   |       96450   |       682   |       92.428   |           |           |        darkgoldenrod1    |       
   |        na12878    |        3    |       abyss 2                     |       69630   |       71458   |       82100   |       1556   |       91.397    |           |           |        white    |       
   |        na12878    |        3    |       abyss 2.0 nd                |        0    |        0    |        0    |        0    |        0    |           |           |        darkgoldenrod3    |       
   |        na12878    |        4    |       DiscovarDeNovo              |       76113   |       77498   |       90779   |       672   |       91.237   |       10.0   |       1672   |        indianred2    |       
   |        na12878    |        5    |       MEGAHIT d                   |       13478   |       13512   |       16844   |       75   |       85.808    |           |           |        aquamarine1    |       
   |        na12878    |        6    |       MEGAHIT c                   |       26729   |       26871   |       32246   |       213   |       90.382    |           |           |        aquamarine3    |         
   |        na24631    |        1    |       abyss 2.5                   |       78610   |       81767   |       96217   |       1990   |       91.372   |           |           |        white    |       
   |        na24631    |        3    |       abyss 2                     |       72877   |       74709   |       87854   |       1578   |       91.150    |           |           |        white    |       
   |        na24631    |        3    |       abyss 2.0 nd                |       76103   |       77433   |       88032   |       895   |       91.792   |           |           |        darkgoldenrod3    |       
   |        na24631    |        3    |       abyss 2.5 nd                |       89206   |       90190   |       105257   |       707   |       92.156   |           |           |        darkgoldenrod1    |       
   |        na24631    |        4    |       DiscovarDeNovo              |       75966   |       77327   |       92633   |       643   |       90.931   |       9.66    |       1624    |        indianred2    |       
   |        na24631    |        5    |       MEGAHIT d                   |       13804   |       13843   |       17567   |       88   |       85.752    |           |           |        aquamarine1    |       
   |        na24631    |        6    |       MEGAHIT c                   |       27612   |       27761   |       34222   |       229   |       90.025    |           |           |        aquamarine3    |       
   |        Ecoli 2x100   |        5    |        SPAdes                |       94894   |       149310   |       176215   |       17   |       94.537   |       02:40   |       12.11   |         lightblue    |       
   |        Ecoli 2x100   |        6    |        Unicycler             |       132909   |       148359   |       171543   |       2   |       97.957   |       36:09   |       12.11   |        dodgerblue4    |       
